Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
missing_03_loan_grade,missing,loan_grade,30,rf,0.8666,0.7193,0.6301,0.6718
missing_03_loan_grade,missing,loan_grade,30,knn,0.843,0.6385,0.634,0.6362
missing_03_loan_grade,missing,loan_grade,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_grade,missing,loan_grade,30,nb,0.8194,0.7084,0.282,0.4034
missing_03_loan_grade,missing,loan_grade,30,dt,0.3084,0.2368,0.9869,0.382
missing_03_loan_grade,missing,loan_grade,30,svm,0.8097,0.7414,0.1867,0.2983
missing_03_loan_int_rate,missing,loan_int_rate,30,lda,0.9524,0.9867,0.791,0.8781
missing_03_loan_int_rate,missing,loan_int_rate,30,lr,0.9397,0.9766,0.7394,0.8416
missing_03_loan_int_rate,missing,loan_int_rate,30,et,0.9451,0.8645,0.8854,0.8748
missing_03_loan_int_rate,missing,loan_int_rate,30,rf,0.8675,0.7259,0.6238,0.671
missing_03_loan_int_rate,missing,loan_int_rate,30,knn,0.8572,0.7057,0.5843,0.6393
missing_03_loan_int_rate,missing,loan_int_rate,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_int_rate,missing,loan_int_rate,30,nb,0.8192,0.7109,0.2788,0.4005
missing_03_loan_int_rate,missing,loan_int_rate,30,dt,0.8317,0.7162,0.3691,0.4871
missing_03_loan_int_rate,missing,loan_int_rate,30,svm,0.8276,0.7642,0.2947,0.4254
missing_03_loan_intent,missing,loan_intent,30,lda,0.9524,0.9798,0.7967,0.8788
missing_03_loan_intent,missing,loan_intent,30,lr,0.9355,0.9576,0.7349,0.8316
missing_03_loan_intent,missing,loan_intent,30,et,0.9496,0.8751,0.8949,0.8849
missing_03_loan_intent,missing,loan_intent,30,rf,0.8661,0.7148,0.6356,0.6729
missing_03_loan_intent,missing,loan_intent,30,knn,0.8419,0.6249,0.6753,0.6491
missing_03_loan_intent,missing,loan_intent,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_intent,missing,loan_intent,30,nb,0.8197,0.7041,0.2889,0.4097
missing_03_loan_intent,missing,loan_intent,30,dt,0.8014,0.8851,0.0956,0.1726
missing_03_loan_intent,missing,loan_intent,30,svm,0.8271,0.7201,0.3302,0.4528
missing_03_loan_percent_income,missing,loan_percent_income,30,lda,0.9536,0.9858,0.7972,0.8815
missing_03_loan_percent_income,missing,loan_percent_income,30,lr,0.9393,0.9739,0.7394,0.8406
missing_03_loan_percent_income,missing,loan_percent_income,30,et,0.9549,0.8867,0.9076,0.8971
missing_03_loan_percent_income,missing,loan_percent_income,30,rf,0.8448,0.645,0.6304,0.6376
missing_03_loan_percent_income,missing,loan_percent_income,30,knn,0.8562,0.7093,0.569,0.6315
missing_03_loan_percent_income,missing,loan_percent_income,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_loan_percent_income,missing,loan_percent_income,30,nb,0.8201,0.707,0.2894,0.4107
missing_03_loan_percent_income,missing,loan_percent_income,30,dt,0.3294,0.2362,0.9387,0.3775
missing_03_loan_percent_income,missing,loan_percent_income,30,svm,0.784,1.0,0.0026,0.0051
missing_03_person_age,missing,person_age,30,lda,0.9539,0.9866,0.798,0.8823
missing_03_person_age,missing,person_age,30,lr,0.9381,0.9757,0.7325,0.8368
missing_03_person_age,missing,person_age,30,et,0.9516,0.876,0.9047,0.8901
missing_03_person_age,missing,person_age,30,rf,0.8668,0.7224,0.6251,0.6702
missing_03_person_age,missing,person_age,30,knn,0.8449,0.6379,0.6566,0.6471
missing_03_person_age,missing,person_age,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_age,missing,person_age,30,nb,0.8198,0.7072,0.2867,0.408
missing_03_person_age,missing,person_age,30,dt,0.7987,0.9379,0.0755,0.1397
missing_03_person_age,missing,person_age,30,svm,0.2166,0.2166,1.0,0.356
missing_03_person_emp_length,missing,person_emp_length,30,lda,0.9536,0.9828,0.7996,0.8818
missing_03_person_emp_length,missing,person_emp_length,30,lr,0.9379,0.9692,0.7369,0.8372
missing_03_person_emp_length,missing,person_emp_length,30,et,0.9547,0.8856,0.9084,0.8968
missing_03_person_emp_length,missing,person_emp_length,30,rf,0.867,0.7221,0.6269,0.6712
missing_03_person_emp_length,missing,person_emp_length,30,knn,0.845,0.6476,0.6233,0.6352
missing_03_person_emp_length,missing,person_emp_length,30,mlp,0.7835,1.0,0.0002,0.0003
missing_03_person_emp_length,missing,person_emp_length,30,nb,0.819,0.704,0.2838,0.4045
missing_03_person_emp_length,missing,person_emp_length,30,dt,0.8063,0.7496,0.1583,0.2614
missing_03_person_emp_length,missing,person_emp_length,30,svm,0.8369,0.7855,0.3396,0.4742
missing_03_person_home_ownership,missing,person_home_ownership,30,lda,0.9509,0.986,0.7843,0.8736
missing_03_person_home_ownership,missing,person_home_ownership,30,lr,0.9383,0.9776,0.7319,0.8371
missing_03_person_home_ownership,missing,person_home_ownership,30,et,0.9519,0.8889,0.8889,0.8889
missing_03_person_home_ownership,missing,person_home_ownership,30,rf,0.866,0.7317,0.6024,0.6608
missing_03_person_home_ownership,missing,person_home_ownership,30,knn,0.841,0.6295,0.6464,0.6378
