Dataset,ErrorType,Feature,Percentage,Model,Accuracy,Precision,Recall,F1_Score
noise_03_loan_int_rate,noise,loan_int_rate,30,et,0.957,0.9009,0.9004,0.9006
noise_03_loan_int_rate,noise,loan_int_rate,30,rf,0.866,0.7318,0.6017,0.6604
noise_03_loan_int_rate,noise,loan_int_rate,30,knn,0.8481,0.7362,0.4652,0.5701
noise_03_loan_int_rate,noise,loan_int_rate,30,mlp,0.8538,0.6541,0.6895,0.6713
noise_03_loan_int_rate,noise,loan_int_rate,30,nb,0.797,0.7041,0.1082,0.1876
noise_03_loan_int_rate,noise,loan_int_rate,30,dt,0.8252,0.7266,0.3094,0.434
noise_03_loan_int_rate,noise,loan_int_rate,30,svm,0.8371,0.8402,0.306,0.4486
noise_03_loan_intent,noise,loan_intent,30,lda,0.9668,0.9824,0.8623,0.9184
noise_03_loan_intent,noise,loan_intent,30,lr,0.9603,0.9594,0.8526,0.9029
noise_03_loan_intent,noise,loan_intent,30,et,0.9494,0.8768,0.8918,0.8843
noise_03_loan_intent,noise,loan_intent,30,rf,0.8636,0.7241,0.5984,0.6552
noise_03_loan_intent,noise,loan_intent,30,knn,0.8556,0.7523,0.4966,0.5983
noise_03_loan_intent,noise,loan_intent,30,mlp,0.8513,0.6505,0.6775,0.6637
noise_03_loan_intent,noise,loan_intent,30,nb,0.8204,0.7016,0.2972,0.4175
noise_03_loan_intent,noise,loan_intent,30,dt,0.85,0.6835,0.5726,0.6231
noise_03_loan_intent,noise,loan_intent,30,svm,0.4714,0.2673,0.8276,0.4041
noise_03_loan_percent_income,noise,loan_percent_income,30,lda,0.9699,0.9878,0.8718,0.9262
noise_03_loan_percent_income,noise,loan_percent_income,30,lr,0.971,0.9737,0.89,0.93
noise_03_loan_percent_income,noise,loan_percent_income,30,et,0.948,0.8754,0.8858,0.8806
noise_03_loan_percent_income,noise,loan_percent_income,30,rf,0.852,0.7448,0.4815,0.5849
noise_03_loan_percent_income,noise,loan_percent_income,30,knn,0.8402,0.6759,0.504,0.5774
noise_03_loan_percent_income,noise,loan_percent_income,30,mlp,0.8354,0.6305,0.58,0.6042
noise_03_loan_percent_income,noise,loan_percent_income,30,nb,0.8207,0.7032,0.298,0.4186
noise_03_loan_percent_income,noise,loan_percent_income,30,dt,0.6411,0.3526,0.7859,0.4868
noise_03_loan_percent_income,noise,loan_percent_income,30,svm,0.3294,0.2362,0.9387,0.3775
noise_03_loan_status,noise,loan_status,30,lda,0.869,0.6626,0.8057,0.7272
noise_03_loan_status,noise,loan_status,30,lr,0.8573,0.637,0.7936,0.7067
noise_03_loan_status,noise,loan_status,30,et,0.8658,0.7397,0.5869,0.6545
noise_03_loan_status,noise,loan_status,30,rf,0.8443,0.7134,0.47,0.5667
